"Date","Weekly amounts outstanding of Central Bank sterling reserve balance liabilities (in sterling millions) not seasonally adjusted                           RPWB56A","Weekly amounts outstanding of Central Bank short-term open market operations (fine-tuning) (in sterling millions) not seasonally adjusted                           RPWB58A","Weekly amounts outstanding of Central Bank sterling short-term market operations with Bank of England counterparties (one-week) (in sterling millions) not seasonally adjusted                           RPWB9R8","Weekly amounts outstanding of Central Bank short-term open market operations (other maturity within-maintenance period sterling) (in sterling millions) not seasonally adjusted                           RPWBV79","Weekly amounts outstanding of Central Bank sterling notes in circulation total (in sterling millions) not seasonally adjusted                           RPWB55A","Weekly amounts outstanding of Central Bank fine-tuning reverse repos with Bank of England counterparties (in sterling millions) not seasonally adjusted                           RPWB68A","Weekly amounts outstanding of Central Bank one-week reverse repos with Bank of England counterparties (in sterling millions) not seasonally adjusted                           RPWB67A","Weekly amounts outstanding of Central Bank sterling other maturity within-maintenance period reverse repos Bank of England counterparties (in sterling millions) not seasonally adjusted                           RPWBL59","Weekly amounts outstanding of Central Bank sterling indexed long-term repos with Bank of England counterparties (in sterling millions) not seasonally adjusted                           RPWZ4TJ","Weekly amounts outstanding of Central Bank sterling contingent term repo facility with Bank of England counterparties (in sterling millions) not seasonally adjusted                           RPWZ4TK","Weekly amounts outstanding of Central Bank sterling denominated bond holdings total (in sterling millions) not seasonally adjusted                           RPWZ4TL","Weekly amounts outstanding of Central Bank sterling loan to Asset Purchase Facility total (in sterling millions) not seasonally adjusted                           RPWZ4TM","Accounting value of the aggregate drawings from the Term Funding Scheme on the Bank of England balance sheet (in sterling millions) financed by the creation of central bank reserves              [a]             RPWZO8Q","Accounting value of the aggregate drawings from the Term Funding Scheme with additional incentives for SMEs (TFSME) (in sterling millions) financed by the creation of central bank reserves                           RPWZOQ4","Weekly amounts outstanding of Central Bank sterling loan to Covid Corporate Financing Facility total (in sterling millions) not seasonally adjusted                           RPWZOQ3","Weekly amounts outstanding of Central Bank foreign currency public securities issued total (in sterling millions) not seasonally adjusted              [b]             RPWB59A","Weekly amounts outstanding of Central Bank all foreign currency reserve assets total (in sterling millions) not seasonally adjusted              [b]             RPWZ4TN"
"30 Jun 21","827659","0","0","0","87586","0","0","0","3090","0","15586","838467","24116","89063","4408","4377","4377"
"23 Jun 21","829727","0","0","0","87503","0","0","0","3090","0","15517","837320","25031","84586","4408","4329","4330"
"16 Jun 21","831147","0","0","0","87580","0","0","0","3090","0","15388","835026","27249","84202","4408","4294","4294"
"09 Jun 21","823889","0","0","0","87682","0","0","0","3090","0","15250","833879","27434","84194","4582","4288","4288"
"02 Jun 21","829441","0","0","0","87778","0","0","0","3205","0","15988","829292","27434","83829","4582","4275","4276"
"26 May 21","831499","0","0","0","87400","0","0","0","3205","0","15897","826998","27515","83030","4582","4287","4288"
"19 May 21","827305","0","0","0","87369","0","0","0","3205","0","15760","823557","27658","82081","4881","4276","4276"
"12 May 21","827491","0","0","0","87139","0","0","0","3205","0","15638","820116","27711","81826","6550","4293","4293"
"05 May 21","825973","0","0","0","87018","0","0","0","3723","0","15572","814862","28239","81246","6789","4350","4348"
"28 Apr 21","816480","0","0","0","86692","0","0","0","3708","0","15446","811903","28278","80694","7402","4346","4343"
"21 Apr 21","812487","0","0","0","86413","0","0","0","3708","0","15334","807463","28433","76854","7531","4345","4342"
"14 Apr 21","807331","0","0","0","86444","0","0","0","3698","0","15215","803023","28787","76414","7531","4388","4384"
"07 Apr 21","798915","0","0","0","86598","0","0","0","4018","0","15144","797103","28872","74734","7929","4396","4826"
"31 Mar 21","790041","0","0","0","86016","0","0","0","4018","0","15140","794143","28947","74129","7929","4386","4859"
"24 Mar 21","799930","0","0","0","85553","0","0","0","4018","0","14980","789703","31048","78720","8228","4412","4844"
"17 Mar 21","803668","0","0","0","85227","0","0","0","4018","0","14930","785264","37191","76542","9241","4362","4789"
"10 Mar 21","800148","0","0","0","84948","0","0","0","4018","0","14785","780824","37771","76217","10104","4356","4783"
"03 Mar 21","800586","0","0","0","84749","0","0","0","4613","0","14785","776384","38272","75947","11524","5774","5401"
"24 Feb 21","796625","0","0","0","84446","0","0","0","4613","0","14702","771944","39558","75367","11773","4316","4314"
"17 Feb 21","794321","0","0","0","84387","0","0","0","4603","0","14592","770096","46364","70107","11534","4414","4413"
"10 Feb 21","790165","0","0","0","84220","0","0","0","4603","0","14518","767137","46449","69867","12231","4414","4413"
"03 Feb 21","787616","0","0","0","84258","0","0","0","4793","0","14473","765657","46644","69867","12530","4476","4475"
"27 Jan 21","778484","0","0","0","84120","0","0","0","4788","0","14393","761217","46791","66617","12058","4458","4457"
"20 Jan 21","762656","0","0","0","84100","0","0","0","4788","0","14303","756777","46975","63996","12281","4478","4476"
"13 Jan 21","775003","0","0","0","84408","0","0","0","4788","0","14252","752337","47410","68561","12182","4482","4480"
"06 Jan 21","770506","0","0","0","85086","0","0","0","4698","0","14182","747897","50060","68246","12212","4498","4496"
"30 Dec 20","767807","0","0","0","85394","0","0","0","4698","0","14179","744937","50110","68243","12162","4489","4487"
"23 Dec 20","770976","0","0","0","85246","0","0","0","4698","0","14175","744937","50405","68222","12237","4516","4513"
"16 Dec 20","772815","0","0","0","84306","0","0","0","4688","0","14153","743880","51197","67277","13408","4526","4524"
"09 Dec 20","767734","0","0","0","83783","0","0","0","4683","0","14079","739461","57520","57597","14887","4556","4555"
"02 Dec 20","769745","0","0","0","83163","0","0","0","5873","0","14097","735042","60389","56166","15142","4580","4578"
"25 Nov 20","770091","0","0","0","82708","0","0","0","5860","0","14076","730624","67312","50812","15131","4562","4561"
"18 Nov 20","768196","0","0","0","82540","0","0","0","5860","0","14040","726205","69756","50251","15360","4590","4589"
"11 Nov 20","766661","0","0","0","82551","0","0","0","5860","0","13947","721786","70256","49654","15236","4621","4620"
"04 Nov 20","761947","0","0","0","82450","0","0","0","5910","0","13915","718840","70566","49645","15321","4702","4700"
"28 Oct 20","754166","0","0","0","82304","0","0","0","5905","0","13879","717367","70691","48528","15291","4695","4693"
"21 Oct 20","747633","0","0","0","82130","0","0","0","5905","0","13862","714421","70835","46006","15236","4640","4639"
"14 Oct 20","745080","0","0","0","82019","0","0","0","5905","0","13804","712948","71235","45716","15849","4682","4681"
"07 Oct 20","740507","0","0","0","82108","0","0","0","9880","0","13736","710002","72485","45159","15849","4733","4732"
"30 Sep 20","731618","0","0","0","82060","0","0","0","9855","0","13680","708247","72485","45148","15724","4723","4720"
"23 Sep 20","722703","0","0","0","81793","0","0","0","9750","0","13667","703269","75585","35223","16423","4784","4782"
"16 Sep 20","720704","0","0","0","81720","0","0","0","9675","0","13646","697143","75935","34724","16991","4695","4692"
"09 Sep 20","720979","0","0","0","81695","0","0","0","9660","0","13643","693581","80935","34326","17678","4698","4694"
"02 Sep 20","732945","0","0","0","81664","0","0","0","25959","0","13956","687555","80935","33606","17433","4612","4609"
"26 Aug 20","735560","0","0","0","81348","0","0","0","25634","0","13974","684467","80945","29823","17532","4647","4645"
"19 Aug 20","729045","0","0","0","81288","0","0","0","25519","0","13970","679890","81911","28216","17533","4667","4665"
"12 Aug 20","723510","0","0","0","81388","0","0","0","25469","0","13952","675311","87338","22217","17483","4710","4709"
"05 Aug 20","721079","0","0","0","81236","0","0","0","26454","0","13949","668762","87829","21885","17393","4684","4683"
"29 Jul 20","710964","0","0","0","80952","0","0","0","26454","0","13937","661637","87855","19438","17393","4745","4742"
"22 Jul 20","705387","0","0","0","80746","0","0","0","26454","125","13916","654606","88085","18738","18718","4831","4828"
"15 Jul 20","708984","0","0","0","80512","0","0","0","26454","125","13924","647292","93096","18396","18498","4879","4876"
"08 Jul 20","706027","0","0","0","80105","0","0","0","28949","135","13920","640115","93096","18344","18254","4881","4877"
"01 Jul 20","695052","0","0","0","79618","0","0","0","28949","385","13916","632994","93096","17838","17616","4934","4930"
"24 Jun 20","694623","0","0","0","79133","0","0","0","27809","6390","13880","625607","93336","14195","18596","4934","4930"
"17 Jun 20","686007","0","0","0","78785","0","0","0","27794","6390","13877","612756","99751","12435","17759","4897","4893"
"10 Jun 20","675541","0","0","0","78305","0","0","0","27544","6385","13851","598707","105651","11980","16310","4814","4809"
"03 Jun 20","666056","0","0","0","77757","0","0","0","27874","6385","13814","584745","106571","11980","16186","4873","5052"
"27 May 20","657680","0","0","0","77153","0","0","0","27869","6385","13747","571035","107099","11920","18979","5028","5274"
"20 May 20","643792","0","0","0","76452","0","0","0","27679","6385","13744","557018","107129","11920","20498","5004","5249"
"13 May 20","627404","0","0","0","76171","0","0","0","27479","6385","13718","542664","107174","11320","18767","5024","5265"
"06 May 20","614755","0","0","0","75533","0","0","0","27454","6385","13714","528507","107174","10970","17684","4961","5201"
"29 Apr 20","594210","0","0","0","75076","0","0","0","27194","6385","13682","514491","107174","8200","15910","4932","5130"
"22 Apr 20","570640","0","0","0","74818","0","0","0","25969","6385","13598","500169","107189","6000","11218","3346","3475"
"15 Apr 20","552079","0","0","0","74957","0","0","0","25269","11385","13562","486190","107189","0","8244","3293","3420"
"08 Apr 20","532371","0","0","0","74907","0","0","0","24987","11380","13558","471995","107189","n/a","5873","3318","3444"
"01 Apr 20","512834","0","0","0","74842","0","0","0","21737","11130","13554","458496","107189","n/a","1908","3324","3450"
"25 Mar 20","481339","0","0","0","74835","0","0","0","14537","0","13464","447996","107189","n/a","n/a","3492","3620"
"18 Mar 20","465635","0","0","0","74048","0","0","0","10858","0","13461","444997","107189","n/a","n/a","3500","3628"
"11 Mar 20","460129","0","0","0","74046","0","0","0","8298","0","13465","444997","107189","n/a","n/a","3195","3314"
"04 Mar 20","469040","0","0","0","74113","0","0","0","8192","0","14425","444997","107189","n/a","n/a","4796","4251"
"26 Feb 20","474973","0","0","0","74072","0","0","0","8172","0","14394","444997","107249","n/a","n/a","4730","4729"
"19 Feb 20","477016","0","0","0","73876","0","0","0","8147","0","14366","444997","107649","n/a","n/a","4727","4727"
"12 Feb 20","476201","0","0","0","73925","0","0","0","8137","0","14332","444997","107659","n/a","n/a","4715","4716"
"05 Feb 20","475770","0","0","0","74190","0","0","0","8357","0","14264","444997","107659","n/a","n/a","4705","4704"
"29 Jan 20","475796","0","0","0","74271","0","0","0","8252","0","14260","444997","107704","n/a","n/a","4701","4700"
"22 Jan 20","473473","0","0","0","74488","0","0","0","7992","0","14222","444997","107924","n/a","n/a","4648","4649"
"15 Jan 20","474291","0","0","0","74695","0","0","0","7442","0","14170","444997","107954","n/a","n/a","4687","4618"
"08 Jan 20","475642","0","0","0","75665","0","0","0","8502","0","14108","444997","108164","n/a","n/a","4658","4961"
"01 Jan 20","473150","0","0","0","77669","0","0","0","8502","0","14104","444997","108164","n/a","n/a","4622","4927"
"25 Dec 19","475579","0","0","0","78004","0","0","0","8502","0","14100","444997","110164","n/a","n/a","4709","5015"
"18 Dec 19","476327","0","0","0","77010","0","0","0","8472","0","14096","444997","110175","n/a","n/a","4656","4959"
"11 Dec 19","479192","0","0","0","76229","0","0","0","7932","0","14092","444997","112690","n/a","n/a","4620","4920"
"04 Dec 19","484171","0","0","0","76038","0","0","0","9703","0","14026","444997","112690","n/a","n/a","4646","4647"
"27 Nov 19","483356","0","0","0","75788","0","0","0","9093","0","14057","444997","112731","n/a","n/a","4728","4885"
"20 Nov 19","483761","0","0","0","75685","0","0","0","9093","0","14043","444997","112864","n/a","n/a","4714","4958"
"13 Nov 19","485724","0","0","0","75644","0","0","0","9093","0","14015","444997","114429","n/a","n/a","4734","4978"
"06 Nov 19","487077","0","0","0","75779","0","0","0","10188","0","13980","444997","114429","n/a","n/a","4723","4966"
"30 Oct 19","485886","0","0","0","75937","0","0","0","10038","0","13961","444997","114429","n/a","n/a","4721","5106"
"23 Oct 19","484366","0","0","0","75994","0","0","0","9398","0","13935","444997","114439","n/a","n/a","4718","4960"
"16 Oct 19","484528","0","0","0","76000","0","0","0","9033","0","13920","444997","114453","n/a","n/a","4747","4902"
"09 Oct 19","484757","0","0","0","76040","0","0","0","8673","0","13882","444997","114453","n/a","n/a","4982","5143"
"02 Oct 19","480443","0","0","0","76143","0","0","0","8997","0","13856","444997","114453","n/a","n/a","4942","5101"
"25 Sep 19","476654","0","0","0","76128","0","0","0","8917","0","13822","444997","115292","n/a","n/a","4901","5061"
"18 Sep 19","472920","0","0","0","76154","0","0","0","8917","0","13794","444997","116156","n/a","n/a","4855","5013"
"11 Sep 19","468687","0","0","0","76300","0","0","0","8892","0","13768","444997","116266","n/a","n/a","4917","5076"
"04 Sep 19","466583","0","0","0","76451","0","0","0","11893","0","14053","444997","116266","n/a","n/a","5020","5180"
"28 Aug 19","477604","0","0","0","76559","0","0","0","11873","0","14001","444997","116276","n/a","n/a","5004","5164"
"21 Aug 19","486850","0","0","0","76358","0","0","0","11768","0","13986","444997","116726","n/a","n/a","5057","5221"
"14 Aug 19","487144","0","0","0","76265","0","0","0","11743","0","13967","444997","116742","n/a","n/a","5083","5244"
"07 Aug 19","487676","0","0","0","76302","0","0","0","13823","0","13933","444997","116742","n/a","n/a","5045","5206"
"31 Jul 19","486936","0","0","0","76168","0","0","0","13538","0","13905","444997","116742","n/a","n/a","4986","5141"
"24 Jul 19","487025","0","0","0","76021","0","0","0","13438","0","13877","444997","116742","n/a","n/a","4881","4876"
"17 Jul 19","480773","0","0","0","75920","0","0","0","11858","0","13858","444997","116742","n/a","n/a","4904","4900"
"10 Jul 19","487373","0","0","0","75775","0","0","0","12778","0","13698","444997","116742","n/a","n/a","4877","4902"
"03 Jul 19","489015","0","0","0","75719","0","0","0","12528","0","13520","444997","116742","n/a","n/a","4850","4875"
"26 Jun 19","489961","0","0","0","75510","0","0","0","13228","0","13298","444997","116742","n/a","n/a","4808","4836"
"19 Jun 19","488356","0","0","0","75256","0","0","0","13128","0","13217","444997","116943","n/a","n/a","4816","4842"
"12 Jun 19","487661","0","0","0","75167","0","0","0","12823","0","13147","444997","116943","n/a","n/a","4781","4807"
"05 Jun 19","492925","0","0","0","75174","0","0","0","13646","0","13025","444997","117238","n/a","n/a","4779","4961"
"29 May 19","491997","0","0","0","75156","0","0","0","13571","0","12832","444997","117238","n/a","n/a","4795","4977"
"22 May 19","490866","0","0","0","74706","0","0","0","13571","0","12694","444997","117239","n/a","n/a","4774","4954"
"15 May 19","491822","0","0","0","74673","0","0","0","12816","0","12551","444997","117239","n/a","n/a","4698","4877"
"08 May 19","491878","0","0","0","75029","0","0","0","12963","0","12501","444997","117239","n/a","n/a","4639","4664"
"01 May 19","495534","0","0","0","74889","0","0","0","12943","0","12477","444997","121249","n/a","n/a","4609","4633"
"24 Apr 19","492892","0","0","0","75368","0","0","0","12903","0","12446","444997","121250","n/a","n/a","4647","4672"
"17 Apr 19","491067","0","0","0","74982","0","0","0","12841","0","12445","444997","121250","n/a","n/a","4606","4631"
"10 Apr 19","489268","0","0","0","74529","0","0","0","12611","0","12428","444997","121250","n/a","n/a","4596","5198"
"03 Apr 19","482697","0","0","0","74493","0","0","0","12561","0","12394","444997","121250","n/a","n/a","4568","5470"
"27 Mar 19","478655","0","0","0","74326","0","0","0","12086","0","12391","444997","121401","n/a","n/a","4548","4886"
"20 Mar 19","476641","0","0","0","74089","0","0","0","11916","0","12387","444997","121401","n/a","n/a","4545","4886"
"13 Mar 19","473585","0","0","0","74194","0","0","0","11511","0","12383","444997","121401","n/a","n/a","6050","7011"
"06 Mar 19","471255","0","0","0","74190","0","0","0","9631","0","12713","444997","121401","n/a","n/a","6076","6830"
"27 Feb 19","491220","0","0","0","74019","0","0","0","9631","0","12654","444997","121401","n/a","n/a","6021","6767"
"20 Feb 19","491212","0","0","0","73969","0","0","0","9631","0","12640","444997","121422","n/a","n/a","6145","6933"
"13 Feb 19","491320","0","0","0","74021","0","0","0","9631","0","12607","444997","121422","n/a","n/a","6224","6858"
"06 Feb 19","488315","0","0","0","74074","0","0","0","8134","0","12590","444997","121422","n/a","n/a","4610","5279"
"30 Jan 19","488792","0","0","0","74178","0","0","0","8134","0","12553","444997","121422","n/a","n/a","4567","5230"
"23 Jan 19","487910","0","0","0","74178","0","0","0","8134","0","12508","444997","121442","n/a","n/a","4570","5232"
"16 Jan 19","489815","0","0","0","74577","0","0","0","8134","0","12496","566438","n/a","n/a","n/a","4642","5312"
"09 Jan 19","487445","0","0","0","75494","0","0","0","7164","0","12483","566439","n/a","n/a","n/a","4684","4716"
"02 Jan 19","485156","0","0","0","77022","0","0","0","7164","0","12479","566439","n/a","n/a","n/a","4739","4768"
"26 Dec 18","484262","0","0","0","78188","0","0","0","7164","0","12475","566439","n/a","n/a","n/a","4714","4743"
"19 Dec 18","484932","0","0","0","76723","0","0","0","7164","0","12471","566439","n/a","n/a","n/a","4714","4742"
"12 Dec 18","486572","0","0","0","75840","0","0","0","7164","0","12445","566439","n/a","n/a","n/a","4699","4726"
"05 Dec 18","487301","0","0","0","75476","0","0","0","5830","0","12449","566439","n/a","n/a","n/a","4666","4690"
"28 Nov 18","488938","0","0","0","75175","0","0","0","5830","0","12316","566444","n/a","n/a","n/a","4663","4684"
"21 Nov 18","488529","0","0","0","74895","0","0","0","5830","0","12179","566444","n/a","n/a","n/a","4651","4853"
"14 Nov 18","487888","0","0","0","74974","0","0","0","5830","0","12085","566444","n/a","n/a","n/a","4566","4583"
"07 Nov 18","492628","0","0","0","74990","0","0","0","5428","0","11926","571444","n/a","n/a","n/a","4514","4530"
"31 Oct 18","491033","0","0","0","74989","0","0","0","5428","0","11878","571444","n/a","n/a","n/a","4644","4840"
"24 Oct 18","492580","0","0","0","74884","0","0","0","5428","0","11791","571444","n/a","n/a","n/a","4598","4791"
"17 Oct 18","492930","0","0","0","74782","0","0","0","5428","0","11672","571444","n/a","n/a","n/a","4518","4709"
"10 Oct 18","491587","0","0","0","74880","0","0","0","5428","0","11553","571444","n/a","n/a","n/a","4493","4503"
"03 Oct 18","489126","0","0","0","75096","0","0","0","5908","0","11406","571444","n/a","n/a","n/a","4562","4570"
"26 Sep 18","488810","0","0","0","75072","0","0","0","5908","0","11235","571444","n/a","n/a","n/a","4500","4506"
"19 Sep 18","487671","0","0","0","75022","0","0","0","5908","0","11082","571444","n/a","n/a","n/a","4512","4516"
"12 Sep 18","487381","0","0","0","75121","0","0","0","5908","0","10921","571454","n/a","n/a","n/a","4560","4573"
"05 Sep 18","491073","0","0","0","75305","0","0","0","5480","0","10902","571454","n/a","n/a","n/a","4588","4612"
"29 Aug 18","490880","0","0","0","75631","0","0","0","5480","0","10786","571454","n/a","n/a","n/a","4571","4614"
"22 Aug 18","488556","0","0","0","75201","0","0","0","5480","0","10703","571454","n/a","n/a","n/a","4606","4650"
"15 Aug 18","491426","0","0","0","75002","0","0","0","5480","0","10569","571457","n/a","n/a","n/a","4694","4737"
"08 Aug 18","489566","0","0","0","75102","0","0","0","4157","0","10416","571457","n/a","n/a","n/a","4610","4651"
"01 Aug 18","488157","0","0","0","75073","0","0","0","4157","0","10307","571457","n/a","n/a","n/a","4523","4562"
"25 Jul 18","486890","0","0","0","74934","0","0","0","4157","0","10262","571457","n/a","n/a","n/a","4515","4555"
"18 Jul 18","484138","0","0","0","74953","0","0","0","4157","0","10346","571457","n/a","n/a","n/a","4551","4589"
"11 Jul 18","490315","0","0","0","75016","0","0","0","4177","0","10150","571457","n/a","n/a","n/a","4480","4518"
"04 Jul 18","487918","0","0","0","74707","0","0","0","4177","0","9995","571457","n/a","n/a","n/a","4497","4532"
"27 Jun 18","488323","0","0","0","74437","0","0","0","4177","0","9847","571457","n/a","n/a","n/a","4519","4551"
"20 Jun 18","488221","0","0","0","74349","0","0","0","4177","0","9724","571607","n/a","n/a","n/a","4504","4534"
"13 Jun 18","487703","0","0","0","74140","0","0","0","4177","0","9657","571607","n/a","n/a","n/a","4439","4465"
"06 Jun 18","491577","0","0","0","74141","0","0","0","5062","0","9527","571607","n/a","n/a","n/a","4419","4443"
"30 May 18","493354","0","0","0","74492","0","0","0","5062","0","9400","571607","n/a","n/a","n/a","4478","4500"
"23 May 18","488391","0","0","0","74049","0","0","0","5062","0","9397","571607","n/a","n/a","n/a","4444","4466"
"16 May 18","494283","0","0","0","73798","0","0","0","5062","0","9394","571607","n/a","n/a","n/a","4394","4416"
"09 May 18","495869","0","0","0","73934","0","0","0","4287","0","9391","571607","n/a","n/a","n/a","4373","4392"
"02 May 18","495298","0","0","0","73611","0","0","0","4287","0","9383","571607","n/a","n/a","n/a","4359","4375"
"25 Apr 18","496302","0","0","0","73334","0","0","0","4287","0","9380","572007","n/a","n/a","n/a","4255","4269"
"18 Apr 18","496425","0","0","0","73199","0","0","0","4287","0","9376","572007","n/a","n/a","n/a","4175","4186"
"11 Apr 18","491192","0","0","0","73740","0","0","0","4287","0","9373","572012","n/a","n/a","n/a","4186","4193"
"04 Apr 18","483981","0","0","0","74523","0","0","0","4077","0","9365","572012","n/a","n/a","n/a","4223","4227"
"28 Mar 18","481950","0","0","0","73858","0","0","0","4077","0","9362","572012","n/a","n/a","n/a","4220","4223"
"21 Mar 18","478595","0","0","0","73374","0","0","0","4077","0","9359","572012","n/a","n/a","n/a","4222","4223"
"14 Mar 18","474943","0","0","0","73288","0","0","0","4077","0","9356","572012","n/a","n/a","n/a","5702","5707"
"07 Mar 18","473603","0","0","0","73354","0","0","0","4115","0","9352","572012","n/a","n/a","n/a","5720","5732"
"28 Feb 18","492226","0","0","0","73250","0","0","0","4115","0","9841","572012","n/a","n/a","n/a","5765","5316"
"21 Feb 18","480877","0","0","0","73117","0","0","0","4115","0","9876","560417","n/a","n/a","n/a","4263","4287"
"14 Feb 18","478462","0","0","0","73189","0","0","0","4115","0","9840","557402","n/a","n/a","n/a","4266","4288"
"07 Feb 18","473964","0","0","0","73211","0","0","0","4660","0","9878","552966","n/a","n/a","n/a","4291","4316"
"31 Jan 18","472128","0","0","0","73329","0","0","0","4660","0","9863","551864","n/a","n/a","n/a","4191","4214"
"24 Jan 18","471629","0","0","0","73506","0","0","0","4660","0","9890","551009","n/a","n/a","n/a","4190","4214"
"17 Jan 18","469351","0","0","0","73972","0","0","0","4660","0","9939","548276","n/a","n/a","n/a","4309","4333"
"10 Jan 18","467473","0","0","0","74747","0","0","0","4417","0","9912","548066","n/a","n/a","n/a","4407","4430"
"03 Jan 18","465536","0","0","0","76225","0","0","0","4417","0","9944","547944","n/a","n/a","n/a","4415","4438"
"27 Dec 17","460366","0","0","0","77444","0","0","0","4417","0","9961","547819","n/a","n/a","n/a","4450","4472"
"20 Dec 17","463435","0","0","0","76581","0","0","0","4417","0","9920","547539","n/a","n/a","n/a","4451","4471"
"13 Dec 17","463511","0","0","0","75812","0","0","0","4417","0","9939","545251","n/a","n/a","n/a","4468","4487"
"06 Dec 17","458571","0","0","0","75686","0","0","0","4072","0","9956","538399","n/a","n/a","n/a","4462","4480"
"29 Nov 17","458666","0","0","0","75450","0","0","0","4072","0","9950","537583","n/a","n/a","n/a","4456","4473"
"22 Nov 17","456730","0","0","0","75165","0","0","0","4072","0","9960","536398","n/a","n/a","n/a","4499","4514"
